id;title;price;start_date;status;duration;plan_file;plan_file_content_type;info
1;New Taiwan Dollar connecting Fiji Dollar;25860;2021-02-27;CANCELED;29406;../fake-data/blob/hipster.png;image/png;yellow
2;Wooden open-source;24607;2021-02-26;CANCELED;93692;../fake-data/blob/hipster.png;image/png;recontextualize synthesizing
3;FTP Tasty;8097;2021-02-26;FINISHED;22624;../fake-data/blob/hipster.png;image/png;exuding Rubber Refined Frozen Shoes
4;deliverables;93699;2021-02-26;ACTIVE;32406;../fake-data/blob/hipster.png;image/png;Bedfordshire Legacy Mouse
5;Palestinian Territory Executive Refined;11119;2021-02-27;PLANNING;10146;../fake-data/blob/hipster.png;image/png;Gorgeous repurpose
6;Cambridgeshire;68720;2021-02-26;FINISHED;9089;../fake-data/blob/hipster.png;image/png;Investment Account
7;Prairie copy withdrawal;51121;2021-02-26;CANCELED;63548;../fake-data/blob/hipster.png;image/png;Product FTP New Zealand Dollar
8;Intelligent Steel Gloves green;80203;2021-02-27;PLANNING;84953;../fake-data/blob/hipster.png;image/png;invoice
9;Rhode Island primary back-end;57522;2021-02-27;ACTIVE;5466;../fake-data/blob/hipster.png;image/png;Pula
10;Lek application;29689;2021-02-26;ACTIVE;35905;../fake-data/blob/hipster.png;image/png;transform pink Keyboard
