id;starting_date;active;status;contract_number;info
1;2021-02-26;true;COPLETED;Personal Loan Account;Ports Human Ergonomic
2;2021-02-27;false;LEAVE;HDD interface;panel
3;2021-02-26;false;ACTIVE;Open-architected;Shoes
4;2021-02-27;true;ACTIVE;Buckinghamshire;Thailand
5;2021-02-27;false;LEAVE;withdrawal Open-architected;Multi-tiered Credit Card Account infomediaries
6;2021-02-27;true;ACTIVE;Agent cyan Configuration;programming
7;2021-02-26;false;LEAVE;Assistant Tasty Cotton Bike transmit;Bhutan
8;2021-02-27;false;REMOVED;Intranet Facilitator Grove;challenge Light Tasty
9;2021-02-26;true;REMOVED;Solutions zero tolerance Austria;PNG integrated
10;2021-02-26;true;COPLETED;initiatives deposit;withdrawal maroon
